sample	unit	lib	platform	fq1	fq2
PI208	AHVF57DSXY.4	UD287	ILLUMINA	../data/fastq_raw/P19606_127_S92_L004_R1_001.fastq.gz	../data/fastq_raw/P19606_127_S92_L004_R2_001.fastq.gz
PI413	AHW3HFDSXY.2	UD250	ILLUMINA	../data/fastq_raw/P19606_329_S20_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_329_S20_L002_R2_001.fastq.gz
PI414	AHW3HFDSXY.2	UD251	ILLUMINA	../data/fastq_raw/P19606_330_S21_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_330_S21_L002_R2_001.fastq.gz
PI415	AHW3HFDSXY.2	UD252	ILLUMINA	../data/fastq_raw/P19606_331_S22_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_331_S22_L002_R2_001.fastq.gz
PI417	AHW3HFDSXY.2	UD253	ILLUMINA	../data/fastq_raw/P19606_332_S23_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_332_S23_L002_R2_001.fastq.gz
PI418	AHW3HFDSXY.2	UD254	ILLUMINA	../data/fastq_raw/P19606_333_S24_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_333_S24_L002_R2_001.fastq.gz
PI419	AHW3HFDSXY.2	UD255	ILLUMINA	../data/fastq_raw/P19606_334_S25_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_334_S25_L002_R2_001.fastq.gz
PI420	AHW3HFDSXY.2	UD256	ILLUMINA	../data/fastq_raw/P19606_335_S26_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_335_S26_L002_R2_001.fastq.gz
PI421	AHW3HFDSXY.2	UD257	ILLUMINA	../data/fastq_raw/P19606_336_S27_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_336_S27_L002_R2_001.fastq.gz
PI422	AHW3HFDSXY.2	UD258	ILLUMINA	../data/fastq_raw/P19606_337_S28_L002_R1_001.fastq.gz	../data/fastq_raw/P19606_337_S28_L002_R2_001.fastq.gz
