sample	unit	lib	platform	fq1	fq2	bam
MZLULEP3328	AH5L5TDSX2.2	012100	ILLUMINA	../data/fastq_raw/P21013_1006_S13_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1006_S13_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3328.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3029	AH5L5TDSX2.2	015092	ILLUMINA	../data/fastq_raw/P21013_1007_S14_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1007_S14_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3029.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3668	AH5L5TDSX2.2	018106	ILLUMINA	../data/fastq_raw/P21013_1008_S15_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1008_S15_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3668.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3086	AH5L5TDSX2.2	019107	ILLUMINA	../data/fastq_raw/P21013_1009_S16_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1009_S16_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3086.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP4316	AH5L5TDSX2.2	021130	ILLUMINA	../data/fastq_raw/P21013_1010_S17_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1010_S17_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP4316.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3656	AH5L5TDSX2.2	028116	ILLUMINA	../data/fastq_raw/P21013_1012_S19_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1012_S19_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3656.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1824	AH5L5TDSX2.2	032120	ILLUMINA	../data/fastq_raw/P21013_1013_S20_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1013_S20_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1824.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1709	AH5L5TDSX2.2	036137	ILLUMINA	../data/fastq_raw/P21013_1014_S21_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1014_S21_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1709.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3256	AH5L5TDSX2.2	043143	ILLUMINA	../data/fastq_raw/P21013_1015_S22_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1015_S22_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3256.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1710	AH5L5TDSX2.2	052142	ILLUMINA	../data/fastq_raw/P21013_1016_S23_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1016_S23_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1710.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP4555	AH5L5TDSX2.2	058135	ILLUMINA	../data/fastq_raw/P21013_1017_S24_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1017_S24_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP4555.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3026	AH5L5TDSX2.2	066149	ILLUMINA	../data/fastq_raw/P21013_1018_S25_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1018_S25_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3026.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1911	AH5L5TDSX2.2	070144	ILLUMINA	../data/fastq_raw/P21013_1019_S26_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1019_S26_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1911.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3266	AH5L5TDSX2.2	093148	ILLUMINA	../data/fastq_raw/P21013_1020_S27_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1020_S27_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3266.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3149	AH5L5TDSX2.2	101132	ILLUMINA	../data/fastq_raw/P21013_1021_S28_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1021_S28_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3149.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1903	AH5L5TDSX2.2	105145	ILLUMINA	../data/fastq_raw/P21013_1023_S30_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1023_S30_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1903.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1661	AH5L5TDSX2.2	128146	ILLUMINA	../data/fastq_raw/P21013_1024_S31_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1024_S31_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1661.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP3133	AH5L5TDSX2.2	168133	ILLUMINA	../data/fastq_raw/P21013_1025_S32_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1025_S32_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP3133.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1748	AH5L5TDSX2.2	172131	ILLUMINA	../data/fastq_raw/P21013_1026_S33_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1026_S33_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1748.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1730	AH5L5TDSX2.2	196124	ILLUMINA	../data/fastq_raw/P21013_1027_S34_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1027_S34_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1730.ilPolIcar1.1.vg.merged.rmdup.bam
MZLULEP1724	AH5L5TDSX2.2	199127	ILLUMINA	../data/fastq_raw/P21013_1028_S35_L002_R1_001.fastq.gz	../data/fastq_raw/P21013_1028_S35_L002_R2_001.fastq.gz	results/mapping/bams/MZLULEP1724.ilPolIcar1.1.vg.merged.rmdup.bam
